playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abadfe01,2017,1,BOS,AL,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreujo02,2017,1,CHA,AL,156,621,95,189,43,6,33,102,3,0,35,119,6,15,0,4,21
adamecr01,2017,1,COL,NL,12,13,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0
adamsau02,2017,1,WAS,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsla01,2017,1,ATL,NL,85,109,19,30,4,1,5,20,10,0,10,37,0,1,1,1,3
adamsma01,2017,1,SLN,NL,31,48,4,14,2,0,1,7,0,0,4,17,0,0,0,1,0
adamsma01,2017,2,ATL,NL,100,291,42,79,20,1,19,58,0,0,19,71,5,1,0,3,5
adducji02,2017,1,DET,AL,29,83,14,20,6,2,1,10,1,1,10,27,0,0,0,0,1
adlemti01,2017,1,CIN,NL,30,29,0,3,1,0,0,2,0,0,0,10,0,0,3,0,0
adriaeh01,2017,1,MIN,AL,70,162,30,43,9,2,2,24,8,1,16,25,1,1,1,6,0
aguilje01,2017,1,MIL,NL,133,279,40,74,15,2,16,52,0,0,25,94,1,4,0,3,8
ahmedni01,2017,1,ARI,NL,53,167,24,42,8,1,6,21,3,4,10,39,3,1,0,0,6
alberan01,2017,1,SEA,AL,9,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0
alberma01,2017,1,WAS,NL,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albieoz01,2017,1,ATL,NL,57,217,34,62,9,5,6,28,8,1,21,36,0,3,1,2,3
albural01,2017,1,KCA,AL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albural01,2017,2,CHA,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcanar01,2017,1,CIN,NL,70,105,13,18,3,1,1,7,2,0,2,38,0,0,1,0,2
alcanra01,2017,1,OAK,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcansa01,2017,1,SLN,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcanvi01,2017,1,DET,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexasc01,2017,1,KCA,AL,58,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
alfarjo01,2017,1,PHI,NL,29,107,12,34,6,0,5,14,0,0,3,33,1,4,0,0,2
alforan01,2017,1,TOR,AL,4,8,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
allenco01,2017,1,CLE,AL,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allengr01,2017,1,CLE,AL,25,35,7,8,1,0,1,6,1,0,2,8,0,1,0,1,0
almonab01,2017,1,CLE,AL,69,172,26,40,8,3,3,14,2,1,20,46,0,1,1,1,2
almonmi01,2017,1,KCA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
almoral01,2017,1,CHN,NL,132,299,39,89,18,1,8,46,1,0,19,53,1,0,3,2,8
alonsyo01,2017,1,OAK,AL,100,319,52,85,17,0,22,49,1,0,50,88,6,2,0,0,6
alonsyo01,2017,2,SEA,AL,42,132,20,35,5,0,6,18,1,0,18,30,0,0,0,0,3
