playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
abadfe01,2017,1,BOS,AL,P,48,0,131,0,6,0,1,,,,,
abreujo02,2017,1,CHA,AL,1B,139,138,3591,1135,78,8,130,,,,,
adamecr01,2017,1,COL,NL,1B,1,0,3,2,0,0,0,,,,,
adamecr01,2017,1,COL,NL,2B,1,0,3,0,0,0,0,,,,,
adamecr01,2017,1,COL,NL,SS,1,1,21,1,1,0,0,,,,,
adamsau02,2017,1,WAS,NL,P,6,0,15,1,0,0,0,,,,,
adamsla01,2017,1,ATL,NL,OF,41,13,516,48,1,2,0,,,,,
adamsma01,2017,1,SLN,NL,1B,3,2,39,11,3,0,1,,,,,
adamsma01,2017,1,SLN,NL,OF,6,4,103,7,0,0,0,,,,,
adamsma01,2017,2,ATL,NL,1B,59,56,1506,488,29,5,42,,,,,
adamsma01,2017,2,ATL,NL,OF,13,13,285,18,0,2,0,,,,,
adducji02,2017,1,DET,AL,OF,26,22,582,50,2,0,0,,,,,
adlemti01,2017,1,CIN,NL,P,30,20,367,15,12,0,1,,,,,
adriaeh01,2017,1,MIN,AL,1B,4,1,36,13,1,0,1,,,,,
adriaeh01,2017,1,MIN,AL,2B,9,3,111,9,6,1,0,,,,,
adriaeh01,2017,1,MIN,AL,3B,9,6,169,4,21,0,1,,,,,
adriaeh01,2017,1,MIN,AL,OF,17,9,278,28,1,0,0,,,,,
adriaeh01,2017,1,MIN,AL,SS,29,23,637,26,74,2,13,,,,,
aguilje01,2017,1,MIL,NL,1B,77,52,1515,455,44,6,65,,,,,
aguilje01,2017,1,MIL,NL,3B,1,0,3,0,0,0,0,,,,,
ahmedni01,2017,1,ARI,NL,SS,48,41,1145,44,140,5,29,,,,,
alberan01,2017,1,SEA,AL,P,9,6,123,1,5,0,0,,,,,
alberma01,2017,1,WAS,NL,P,63,0,183,1,5,0,0,,,,,
albieoz01,2017,1,ATL,NL,2B,57,57,1492,92,140,3,34,,,,,
albural01,2017,1,KCA,AL,P,11,0,30,2,3,0,0,,,,,
albural01,2017,2,CHA,AL,P,10,0,24,0,4,0,0,,,,,
alcanar01,2017,1,CIN,NL,2B,10,6,165,9,17,3,2,,,,,
alcanar01,2017,1,CIN,NL,3B,4,0,28,0,2,0,1,,,,,
