playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
abadfe01,2017,1,BOS,AL,2,1,48,0,0,0,1,131,40,16,4,14,37,0.242,3.30,1,0,1,1,182,15,18,0,2,4
adamsau02,2017,1,WAS,NL,0,0,6,0,0,0,0,15,4,2,0,8,10,0.211,3.60,0,1,1,0,29,3,4,0,1,0
adlemti01,2017,1,CIN,NL,5,11,30,20,0,0,0,367,124,75,29,51,108,0.264,5.52,1,1,6,1,531,4,79,1,4,8
alberan01,2017,1,SEA,AL,5,1,9,6,0,0,1,123,43,16,6,10,37,0.262,3.51,0,1,2,0,178,2,22,0,1,3
alberma01,2017,1,WAS,NL,7,2,63,0,0,0,2,183,35,11,6,17,63,0.166,1.62,0,0,4,0,233,23,12,0,1,6
albural01,2017,1,KCA,AL,0,1,11,0,0,0,0,30,7,4,0,6,9,0.194,3.60,0,0,0,0,42,5,4,0,0,1
albural01,2017,2,CHA,AL,0,1,10,0,0,0,0,24,3,1,0,2,5,0.111,1.13,0,0,0,0,29,2,1,0,0,0
alcanra01,2017,1,OAK,AL,1,2,8,4,0,0,0,72,22,19,5,12,12,0.239,7.13,1,0,3,1,108,2,21,0,1,2
alcansa01,2017,1,SLN,NL,0,0,8,0,0,0,0,25,9,4,2,6,10,0.273,4.32,0,0,0,0,39,3,6,0,0,2
alcanvi01,2017,1,DET,AL,0,0,6,0,0,0,0,22,12,7,1,4,5,0.375,8.59,0,1,2,0,39,2,7,0,1,1
alexasc01,2017,1,KCA,AL,5,4,58,0,0,0,4,207,62,19,3,28,59,0.246,2.48,0,3,0,0,283,9,23,1,2,13
allenco01,2017,1,CLE,AL,3,7,69,0,0,0,30,202,57,22,9,21,92,0.221,2.94,0,9,2,0,282,55,24,1,0,1
almonmi01,2017,1,KCA,AL,0,0,2,0,0,0,0,6,5,3,0,2,0,0.556,13.50,0,0,0,0,12,0,3,0,1,1
altavda01,2017,1,SEA,AL,1,1,41,0,0,0,0,140,43,22,9,20,52,0.242,4.24,1,9,1,0,203,13,27,0,4,3
alvarda01,2017,1,TEX,AL,2,0,20,0,0,0,0,49,19,5,1,14,17,0.292,2.76,0,2,1,1,82,3,8,0,2,2
alvarhe01,2017,1,PHI,NL,0,1,3,3,0,0,0,44,14,7,2,11,6,0.250,4.30,1,0,0,1,67,0,7,0,0,2
alvarjo02,2017,1,LAA,AL,0,3,64,0,0,0,1,146,50,21,7,12,45,0.263,3.88,5,1,0,0,203,12,23,1,0,5
alvarjo03,2017,1,TBA,AL,0,3,35,0,0,0,0,89,24,12,1,9,29,0.216,3.64,1,2,0,0,123,6,12,2,1,1
anderbr04,2017,1,CHN,NL,2,2,6,6,0,0,0,66,34,20,2,12,16,0.347,8.18,0,1,0,0,111,0,22,0,1,2
anderbr04,2017,2,TOR,AL,2,2,7,7,0,0,0,100,39,19,3,9,22,0.302,5.13,0,1,0,0,140,0,19,0,2,5
anderch01,2017,1,MIL,NL,12,4,25,25,0,0,0,424,113,43,14,41,133,0.220,2.74,1,0,7,0,569,0,47,5,2,11
anderdr02,2017,1,PHI,NL,0,0,2,0,0,0,0,7,6,6,0,1,2,0.500,23.14,0,0,0,0,14,1,7,0,1,0
anderty01,2017,1,COL,NL,6,6,17,15,0,0,0,258,88,46,16,26,81,0.269,4.81,0,6,2,2,362,1,48,5,2,8
andrima01,2017,1,TBA,AL,5,5,18,17,0,0,1,258,90,43,16,28,76,0.264,4.50,1,3,4,2,374,1,48,0,1,6
aokino01,2017,1,HOU,AL,0,0,1,0,0,0,0,3,1,3,0,2,0,0.333,27.00,0,0,0,0,6,1,3,0,1,0
aquinja01,2017,1,BAL,AL,1,2,4,2,0,0,0,40,15,11,4,6,13,0.268,7.43,0,1,0,0,62,1,12,0,0,0
aranovi01,2017,1,PHI,NL,1,0,10,0,0,0,0,32,6,2,0,4,13,0.158,1.69,0,0,0,0,42,2,2,0,0,0
archech01,2017,1,TBA,AL,10,12,34,34,0,0,0,603,193,91,27,60,249,0.246,4.07,0,15,5,0,852,0,101,1,2,17
armstsh01,2017,1,CLE,AL,1,0,21,0,0,0,0,74,23,12,5,10,20,0.237,4.38,0,1,1,0,108,14,12,0,0,1
arrieja01,2017,1,CHN,NL,14,10,30,30,0,0,0,505,150,66,23,55,163,0.235,3.53,3,14,10,0,707,0,82,1,4,10
arroybr01,2017,1,CIN,NL,3,6,14,14,0,0,0,213,94,58,23,19,45,0.320,7.35,2,1,2,0,322,0,59,5,2,3
asheral01,2017,1,BAL,AL,2,5,24,6,0,0,0,180,61,35,10,23,47,0.263,5.25,2,4,7,0,265,6,36,1,2,7
astinba01,2017,1,CIN,NL,0,0,6,0,0,0,0,24,9,6,2,7,2,0.290,6.75,0,0,2,0,41,1,6,0,1,1
avilalu01,2017,1,LAN,NL,2,3,61,0,0,0,0,138,42,15,2,22,52,0.246,2.93,3,1,1,0,194,5,16,0,0,4
axforjo01,2017,1,OAK,AL,0,1,22,0,0,0,0,63,27,15,3,17,21,0.310,6.43,0,1,2,0,109,8,16,1,2,1
aybarer01,2017,1,SDN,NL,0,0,2,0,0,0,0,4,0,0,0,1,0,0.000,0.00,0,0,0,0,4,2,0,0,0,1
baezpe01,2017,1,LAN,NL,3,6,66,0,0,0,0,192,56,21,9,29,64,0.225,2.95,2,1,2,1,280,6,24,0,0,1
bailean01,2017,1,LAA,AL,2,0,4,0,0,0,0,12,1,0,0,0,2,0.077,0.00,0,0,0,0,13,2,0,0,0,0
baileho02,2017,1,CIN,NL,6,9,18,18,0,0,0,273,112,65,11,42,67,0.309,6.43,2,4,8,0,420,0,67,5,2,9
bandaan01,2017,1,ARI,NL,2,3,8,4,0,0,0,77,26,17,1,10,25,0.255,5.96,1,2,3,0,115,1,17,0,0,2
barbajo01,2017,1,PIT,NL,0,1,24,0,0,0,0,86,25,13,4,18,23,0.227,4.08,0,1,2,0,130,7,13,0,0,1
barneda02,2017,1,TOR,AL,3,6,60,0,0,0,0,198,48,26,11,24,62,0.200,3.55,1,1,1,0,265,13,26,0,0,6
barneja01,2017,1,MIL,NL,3,4,73,0,0,0,2,216,57,32,8,33,80,0.215,4.00,4,6,3,0,304,8,35,0,3,10
barnema01,2017,1,BOS,AL,7,3,70,0,0,0,1,209,57,30,7,28,83,0.224,3.88,0,3,1,0,287,15,31,1,3,7
barneto01,2017,1,TEX,AL,2,1,50,0,0,0,2,172,64,35,7,22,57,0.288,5.49,4,4,2,0,252,7,36,0,6,7
barraky01,2017,1,MIA,NL,6,2,66,0,0,0,1,198,53,22,5,38,76,0.222,3.00,3,6,2,1,286,12,25,3,4,4
barreja01,2017,1,ARI,NL,1,1,28,0,0,0,0,81,27,15,7,15,26,0.260,5.00,2,1,0,0,121,5,18,0,2,2
bassan01,2017,1,TEX,AL,0,0,2,0,0,0,0,17,14,9,1,0,1,0.467,14.29,0,1,0,0,31,1,9,0,1,0
bastaan01,2017,1,PIT,NL,0,1,9,0,0,0,0,27,16,15,5,9,8,0.372,15.00,0,2,0,0,52,5,15,0,0,0
