yearID,playerID,Games,Wins,Losses
1985,altobjo01,55,29,26
1985,ripkeca99,1,1,0
1985,weaveea99,105,53,52
1985,mcnamjo99,163,81,81
1985,mauchge01,162,90,72
1985,larusto01,163,85,77
1985,corrapa01,162,60,102
1985,andersp01,161,84,77
1985,howsedi01,162,91,71
1985,gardnbi02,62,27,35
1985,millera99,100,50,50
1985,bambege01,161,71,90
1985,martibi02,145,91,54
1985,mooreja01,162,77,85
1985,cottich01,162,74,88
1985,raderdo02,32,9,23
1985,valenbo02,129,53,76
1985,coxbo01,161,99,62
1985,freyji99,162,77,84
1985,rosepe01,162,89,72
1985,lasorto01,162,95,67
1985,rodgebu01,161,84,77
1985,johnsda02,162,98,64
1985,felskjo01,162,75,87
1985,tannech01,161,57,104
1985,willidi02,162,83,79
1985,craigro01,18,6,12
1985,herzowh01,162,101,61
1986,weaveea99,162,73,89
1986,mcnamjo99,161,95,66
1986,mauchge01,162,92,70
1986,larusto01,64,26,38
1986,raderdo02,2,1,1
1986,fregoji01,96,45,51
1986,corrapa01,163,84,78
1986,andersp01,162,87,75
1986,howsedi01,88,40,48
1986,ferrami01,74,36,38
1986,millera99,139,59,80
1986,kellyto01,23,12,11
1986,bambege01,152,71,81
1986,trebeto99,9,6,3
1986,pinielo01,162,90,72
1986,mooreja01,73,29,44
1986,newmaje01,10,2,8
1986,larusto01,79,45,34
1986,cottich01,28,9,19
1986,martima01,1,0,1
1986,willidi02,133,58,75
1986,valenbo02,162,87,75
1986,williji03,163,86,76
1986,tannech01,161,72,89
1986,freyji99,56,23,33
1986,vukovjo01,2,1,1
1986,michage01,102,46,56
1986,rosepe01,162,86,76
1986,lanieha01,162,96,66
1986,lasorto01,162,73,89
1986,rodgebu01,161,78,83
1986,johnsda02,162,108,54
1986,felskjo01,161,86,75
1986,leylaji99,162,64,98
1986,borosst01,162,74,88
1986,craigro01,162,83,79
1986,herzowh01,161,79,82
1987,ripkeca99,162,67,95
1987,mcnamjo99,162,78,84
1987,mauchge01,162,75,87
1987,fregoji01,162,77,85
1987,corrapa01,87,31,56
1987,edwardo01,75,30,45
1987,andersp01,162,98,64
1987,gardnbi02,126,62,64
1987,wathajo01,36,21,15
1987,kellyto01,162,85,77
1987,trebeto99,162,91,71
1987,pinielo01,162,89,73
1987,larusto01,162,81,81
1987,willidi02,162,78,84
1987,valenbo02,162,75,87
1987,williji03,162,96,66
1987,tannech01,161,69,92
1987,michage01,136,68,68
1987,lucchfr99,25,8,17
1987,rosepe01,162,84,78
1987,lanieha01,162,76,86
1987,lasorto01,162,73,89
1987,rodgebu01,162,91,71
1987,johnsda02,162,92,70
1987,felskjo01,61,29,32
1987,eliale01,101,51,50
1987,leylaji99,162,80,82
1987,bowala01,162,65,97
1987,craigro01,162,90,72
1987,herzowh01,162,95,67
1988,ripkeca99,6,0,6
1988,robinfr02,155,54,101
1988,mcnamjo99,85,43,42
1988,morgajo01,77,46,31
1988,rojasco01,154,75,79
1988,stubimo01,8,0,8
1988,fregoji01,161,71,90
1988,edwardo01,162,78,84
1988,andersp01,162,88,74
1988,wathajo01,161,84,77
1988,kellyto01,162,91,71
1988,trebeto99,162,87,75
1988,martibi02,68,40,28
1988,pinielo01,93,45,48
1988,larusto01,162,104,58
1988,willidi02,56,23,33
1988,snydeji02,105,45,60
1988,valenbo02,161,70,91
1988,williji03,162,87,75
1988,tannech01,39,12,27
1988,nixonru01,121,42,79
1988,zimmedo01,163,77,85
1988,rosepe01,23,11,12
1988,helmsto01,27,12,15
1988,rosepe01,111,64,47
1988,lanieha01,162,82,80
1988,lasorto01,162,94,67
1988,rodgebu01,163,81,81
1988,johnsda02,160,100,60
1988,eliale01,153,60,92
1988,vukovjo01,9,5,4
1988,leylaji99,160,85,75
1988,bowala01,46,16,30
1988,mckeoja99,115,67,48
1988,craigro01,162,83,79
1988,herzowh01,162,76,86
1989,robinfr02,162,87,75
1989,morgajo01,162,83,79
1989,raderdo02,162,91,71
1989,torboje01,161,69,92
1989,edwardo01,143,65,78
1989,hartjo99,19,8,11
1989,andersp01,162,59,103
1989,wathajo01,162,92,70
1989,kellyto01,162,80,82
1989,trebeto99,162,81,81
1989,greenda02,121,56,65
1989,dentbu01,40,18,22
1989,larusto01,162,99,63
1989,lefebji01,162,73,89
1989,valenbo02,162,83,79
1989,williji03,36,12,24
1989,gastoci01,126,77,49
1989,nixonru01,161,63,97
1989,zimmedo01,162,93,69
1989,rosepe01,125,59,66
1989,helmsto01,37,16,21
1989,howear01,162,86,76
1989,lasorto01,160,77,83
1989,rodgebu01,162,81,81
1989,johnsda02,162,87,75
1989,leyvani99,163,67,95
1989,leylaji99,164,74,88
1989,mckeoja99,162,89,73
1989,craigro01,162,92,70
1989,herzowh01,164,86,76
1990,robinfr02,162,76,85
1990,morgajo01,162,88,74
1990,raderdo02,162,80,82
1990,torboje01,162,94,68
1990,mcnamjo99,162,77,85
1990,andersp01,162,79,83
1990,wathajo01,161,75,86
1990,kellyto01,162,74,88
1990,trebeto99,162,74,88
1990,dentbu01,49,18,31
1990,merrist99,113,49,64
1990,larusto01,162,103,59
1990,lefebji01,162,77,85
1990,valenbo02,162,83,79
1990,gastoci01,162,86,76
1990,nixonru01,65,25,40
1990,coxbo01,97,40,57
1990,zimmedo01,162,77,85
1990,pinielo01,162,91,71
1990,howear01,162,75,87
1990,lasorto01,162,86,76
1990,rodgebu01,162,85,77
1990,johnsda02,42,20,22
1990,harrebu01,120,71,49
1990,leyvani99,162,77,85
1990,leylaji99,162,95,67
1990,mckeoja99,80,37,43
1990,riddogr99,82,38,44
1990,craigro01,162,85,77
1990,herzowh01,80,33,47
