Date,Visiting: Team,Home: Team,Visiting: Score,Home: Score,Visiting: Win,Home: Win,Visiting: Fielding performance,Home: Fielding performance,Visiting: Pitching performance,Home: Pitching performance,Visiting: Batting performance,Home: Batting performance,Visiting: Pythagorean expectation,Home: Pythagorean expectation
2018-03-29,COL,ARI,2,8,False,True,46.0,57.5,28.0,16.75,15.75,31.0,0.07331023040208501,0.9266897695979149
2018-03-29,PHI,ATL,5,8,False,True,50.75,56.25,12.0,-7.75,32.0,31.25,0.29731706566708255,0.7026829343329175
2018-03-29,SFN,LAN,1,0,True,False,58.75,54.0,44.5,41.0,9.0,0.25,1.0,0.0
2018-03-29,CHN,MIA,8,4,True,False,54.75,46.25,20.75,-4.75,48.25,20.25,0.7804788983286847,0.2195211016713153
2018-03-29,SLN,NYN,4,9,False,True,52.0,46.75,26.0,12.0,15.75,29.0,0.1848236571288747,0.8151763428711254
2018-03-29,MIL,SDN,2,1,True,False,71.5,85.75,36.0,64.75,5.0,3.5,0.7804788983286848,0.21952110167131533
2018-03-29,MIN,BAL,2,3,False,True,58.5,65.5,33.25,50.5,7.25,17.25,0.32256670291246203,0.677433297087538
2018-03-29,CHA,KCA,14,7,True,False,52.25,54.0,-19.25,-69.25,90.5,36.75,0.7804788983286848,0.21952110167131533
2018-03-29,ANA,OAK,5,6,False,True,60.0,62.0,-10.0,15.0,39.75,47.0,0.4173531650396506,0.5826468349603493
2018-03-29,CLE,SEA,1,2,False,True,54.25,53.0,30.0,32.25,6.0,8.25,0.21952110167131533,0.7804788983286848
2018-03-29,HOU,TEX,4,1,True,False,49.0,53.75,52.25,19.25,22.25,-5.75,0.9266897695979149,0.07331023040208502
2018-03-29,NYA,TOR,6,1,True,False,48.5,51.0,31.0,24.0,38.5,0.0,0.9636985141706145,0.036301485829385485
2018-03-30,COL,ARI,8,9,False,True,42.25,54.25,11.75,-14.5,43.5,29.25,0.44632191856552705,0.553678081434473
