,Visiting: Win,Home: Win
50589,False,True
8405,True,False
24858,False,True
71340,True,False
19454,False,True
24899,True,False
25046,False,True
15750,True,False
74876,False,True
78797,True,False
54167,False,True
75749,True,False
67529,False,True
21251,True,False
78776,False,True
66356,True,False
20843,False,True
59633,True,False
56257,False,True
29107,True,False
56531,False,True
61923,True,False
75697,False,True
38215,True,False
10884,False,True
8946,True,False
44722,False,True
71930,True,False
71236,False,True
58288,True,False
11683,False,True
7673,True,False
55869,False,True
12415,True,False
24059,False,True
54401,True,False
62438,False,True
10294,True,False
23340,False,True
9044,True,False
80471,False,True
79248,True,False
17624,False,True
44429,True,False
37066,False,True
41418,True,False
48993,False,True
74099,True,False
54098,False,True
78066,True,False
29652,False,True
37544,True,False
6893,False,True
76598,True,False
44514,False,True
60156,True,False
53868,False,True
27517,True,False
79256,False,True
4423,True,False
36168,False,True
43844,True,False
39077,False,True
59824,True,False
31840,False,True
22685,True,False
38840,False,True
22020,True,False
63719,False,True
48082,True,False
77507,False,True
44344,True,False
21120,False,True
14081,True,False
182,False,True
67736,True,False
76854,False,True
36316,True,False
3712,False,True
2839,True,False
1157,False,True
64822,True,False
42013,False,True
12237,True,False
2844,False,True
72867,True,False
46778,False,True
57485,True,False
62555,False,True
52641,True,False
75767,False,True
53800,True,False
56694,False,True
63761,True,False
61157,False,True
60383,True,False
359,False,True
14231,True,False
7272,False,True
8082,True,False
58976,False,True
23361,True,False
15195,False,True
44559,True,False
44823,False,True
6459,True,False
78210,False,True
49180,True,False
54079,False,True
65242,True,False
56055,False,True
34493,True,False
34500,False,True
2821,True,False
4164,False,True
5944,True,False
47669,False,True
2639,True,False
25127,False,True
35325,True,False
80950,False,True
33739,True,False
49130,False,True
58312,True,False
18406,False,True
51433,True,False
55481,False,True
44815,True,False
71621,False,True
70520,True,False
55656,False,True
70947,True,False
55436,False,True
39907,True,False
24748,False,True
63452,True,False
60938,False,True
49876,True,False
60577,False,True
68654,True,False
60042,False,True
52581,True,False
41276,False,True
26911,True,False
79459,False,True
23147,True,False
46527,False,True
25903,True,False
61821,False,True
39924,True,False
6887,False,True
67877,True,False
39531,False,True
69356,True,False
23021,False,True
69542,True,False
16245,False,True
59185,True,False
10694,False,True
38764,True,False
66640,False,True
44525,True,False
39511,False,True
74922,True,False
51296,False,True
81207,True,False
37283,False,True
8552,True,False
43460,False,True
12721,True,False
11942,False,True
7022,True,False
74906,False,True
80964,True,False
19516,False,True
80476,True,False
69067,False,True
77713,True,False
34805,False,True
63650,True,False
18279,False,True
2784,True,False
72158,False,True
5331,True,False
72415,False,True
26424,True,False
30625,False,True
37159,True,False
42856,False,True
51944,True,False
62123,False,True
26936,True,False
29457,False,True
15828,True,False
30803,False,True
869,True,False
53371,False,True
43744,True,False
36673,False,True
16014,True,False
43619,False,True
58699,True,False
9523,False,True
14664,True,False
59303,False,True
4772,True,False
37190,False,True
29533,True,False
62501,False,True
3965,True,False
39102,False,True
14479,True,False
50249,False,True
58364,True,False
6671,False,True
72508,True,False
46342,False,True
69320,True,False
33640,False,True
23385,True,False
16887,False,True
70342,True,False
6997,False,True
11984,True,False
56280,False,True
3026,True,False
68840,False,True
28260,True,False
12563,False,True
71389,True,False
50556,False,True
21421,True,False
52363,False,True
60122,True,False
60572,False,True
7394,True,False
20485,False,True
59914,True,False
11608,False,True
71513,True,False
15294,False,True
65016,True,False
53116,False,True
73494,True,False
10479,False,True
23671,True,False
61387,False,True
69061,True,False
50953,False,True
22152,True,False
65680,False,True
11420,True,False
27600,False,True
37246,True,False
49984,False,True
19950,True,False
11343,False,True
47622,True,False
58194,False,True
65006,True,False
44116,False,True
48663,True,False
31251,False,True
15779,True,False
1561,False,True
66167,True,False
18250,False,True
28027,True,False
6091,False,True
67728,True,False
49262,False,True
55336,True,False
31323,False,True
30855,True,False
28201,False,True
24221,True,False
54668,False,True
14207,True,False
45839,False,True
81094,True,False
56679,False,True
66882,True,False
61171,False,True
34743,True,False
16945,False,True
18195,True,False
23669,False,True
8771,True,False
13415,False,True
75148,True,False
73789,False,True
56833,True,False
11050,False,True
53130,True,False
24186,False,True
7181,True,False
62424,False,True
61846,True,False
61789,False,True
29246,True,False
28989,False,True
56013,True,False
12146,False,True
3532,True,False
32348,False,True
15504,True,False
20565,False,True
54188,True,False
37306,False,True
18155,True,False
48049,False,True
24922,True,False
68787,False,True
57429,True,False
78493,False,True
41697,True,False
75482,False,True
1059,True,False
31893,False,True
33212,True,False
48186,False,True
49196,True,False
59496,False,True
50061,True,False
13269,False,True
80719,True,False
56215,False,True
28181,True,False
26809,False,True
21560,True,False
10935,False,True
6189,True,False
45468,False,True
29455,True,False
36722,False,True
37456,True,False
46199,False,True
1909,True,False
61093,False,True
11672,True,False
18132,False,True
35614,True,False
50357,False,True
39185,True,False
30633,False,True
17110,True,False
72884,False,True
2946,True,False
50668,False,True
19857,True,False
57379,False,True
60032,True,False
16161,False,True
60814,True,False
37875,False,True
18826,True,False
73478,False,True
35338,True,False
12940,False,True
43748,True,False
72782,False,True
67612,True,False
32095,False,True
10494,True,False
49610,False,True
57238,True,False
79606,False,True
18533,True,False
12525,False,True
28801,True,False
11631,False,True
66076,True,False
42127,False,True
79788,True,False
1988,False,True
10120,True,False
