timestamp,predictors,identifier,optimizer,layers,activations,dropouts,dimensions,length,nodes,loss,binary_accuracy,time,epochs
2021-01-03 11:04:05.792852,['Visiting: Pitcher - Win rate'],V01D948747209452,adam,"[7, 1]","['None', 'None']","[0, 0]",1,2,8,0.6931484341621399,0.5002025961875916,0.31,300
2021-01-03 11:06:15.391299,['Visiting: Pitcher - Strikeouts per walk'],V01D273253481584,adam,"[7, 1]","['None', 'None']","[6, 0]",1,2,8,0.6931930184364319,0.5002025961875916,0.94,280
2021-01-03 11:07:24.167492,['Home: Team - Season Performance'],H01D137570357914,adam,[1],['softplus'],[0],1,1,1,0.6919927597045898,0.5200567245483398,0.25,260
2021-01-03 11:10:19.023137,['Home: Pitcher - Pitching performance'],H01D219839246463,rmsprop,"[6, 3, 1]","['None', 'None', 'None']","[0, 0, 0]",1,3,10,0.6931982636451721,0.5022284984588623,0.48,180
2021-01-03 11:11:57.098113,['Visiting: Odd ratio'],V01D320282067879,adam,[6],['None'],[3],1,1,6,0.6931259632110596,0.5093193054199219,0.03,180
2021-01-03 11:13:39.978446,['Home: Team - Pythagorean expectation'],H01D224828835591,adamax,[7],['None'],[0],1,1,7,0.6923596858978271,0.5251215696334839,0.71,100
2021-01-03 11:15:56.878936,['Visiting: Fielding performance ratio'],V01D224507588072,rmsprop,"[6, 1]","['None', 'softplus']","[4, 0]",1,2,7,0.6931487321853638,0.5002025961875916,0.66,100
2021-01-03 11:17:08.616898,['Home: Throwing side'],H01D330581164616,rmsprop,[1],['elu'],[0],1,1,1,0.6931487321853638,0.5002025961875916,0.67,220
2021-01-03 11:19:14.282219,['Visiting: Pitcher - Pitching performance'],V01D299736086620,adam,"[5, 1]","['None', 'None']","[0, 0]",1,2,6,0.6931563019752502,0.5010129809379578,0.24,160
2021-01-03 11:22:17.155913,['Visiting: Fielding performance versus ratio'],V01D384475657183,adam,"[4, 3, 1]","['None', 'softplus', 'None']","[3, 1, 0]",1,3,8,0.6931485533714294,0.5002025961875916,0.69,180
