timestamp,predictors,identifier,optimizer,layers,activations,dropouts,dimensions,length,nodes,loss,binary_accuracy,time,epochs
2021-01-12 15:05:19.230933,['Visiting: Average age'],01D0421976273691,adam,[9],['None'],[0],1,1,9,0.6925550103187561,0.5111683607101439,8.565059,180
2021-01-12 15:07:21.182923,['Visiting: Batting side'],01D0501195494228,adam,"[3, 7]","['None', 'None']","[0, 0]",1,2,10,0.6950789093971252,0.5018409490585327,4.822922,100
2021-01-12 15:08:54.873569,['Visiting: Throwing side'],01D0583846481260,adam,[10],['softplus'],[0],1,1,10,0.693170964717865,0.5007363557815552,12.633854,280
2021-01-12 15:10:21.268859,['Visiting: Average BMI'],01D0388145606310,adam,[7],['None'],[3],1,1,7,0.7023800611495972,0.5114138722419739,12.156556,280
2021-01-12 15:11:51.395126,['Home: Average age'],01D0223338224319,adam,[7],['None'],[0],1,1,7,0.6959288120269775,0.5104320049285889,4.347746,100
2021-01-12 15:13:23.062461,['Home: Batting side'],01D0275691886956,adam,[9],['None'],[6],1,1,9,0.7222062349319458,0.5089592337608337,11.486509,260
2021-01-12 15:14:58.600767,['Home: Throwing side'],01D0330581164616,adam,[10],['None'],[0],1,1,10,0.7003180384635925,0.5050318837165833,5.2388770000000005,120
2021-01-12 15:16:24.264721,['Home: Average BMI'],01D0201438522722,adam,[10],['None'],[6],1,1,10,0.7035060524940491,0.5001227259635925,9.78898,220
2021-01-12 15:18:09.610409,['Visiting: Team - Win rate'],01D0661077840375,adam,[10],['None'],[2],1,1,10,0.698987603187561,0.5138684511184692,8.803575,200
2021-01-12 15:19:42.644491,['Home: Team - Win rate'],01D0390876779811,adam,[9],['None'],[0],1,1,9,0.6922443509101868,0.515954852104187,6.8654740000000025,160
2021-01-12 15:21:21.532969,['Visiting: Team - Season Performance'],01D1963487810725,rmsprop,[8],['None'],[0],1,1,8,1.945912480354309,0.534977912902832,6.508277,120
2021-01-12 15:22:56.455228,['Home: Team - Season Performance'],01D1375703579141,adam,[10],['None'],[0],1,1,10,0.6924268007278442,0.5187776088714601,10.193369,240
2021-01-12 15:24:00.336414,['Visiting: Team - Pythagorean expectation'],01D3056142327160,adam,[1],['None'],[0],1,1,1,0.691318690776825,0.5335051417350769,4.429124,100
2021-01-12 15:26:07.208904,['Home: Team - Pythagorean expectation'],01D2248288355916,adam,"[5, 3]","['None', 'None']","[0, 0]",1,2,8,0.7047229409217834,0.5009818077087402,4.6014620000000015,100
2021-01-12 15:27:56.118198,['Visiting: Manager - Win rate'],01D0942102018452,adamax,"[3, 2]","['None', 'None']","[0, 0]",1,2,5,0.6931767463684082,0.5001227259635925,11.551908000000001,260
2021-01-12 15:29:39.257345,['Home: Manager - Win rate'],01D0591528322056,adam,"[6, 1]","['None', 'None']","[0, 0]",1,2,7,0.6967622637748718,0.5041728019714355,7.737681999999999,180
2021-01-12 15:30:41.114481,['Visiting: Average Fielding performance'],01D2622752463270,sgd,[1],['None'],[0],1,1,1,0.6931526064872742,0.5001227259635925,7.616186999999999,180
2021-01-12 15:32:06.077027,['Home: Average Fielding performance'],01D1890281538730,adam,[9],['None'],[0],1,1,9,0.6935843229293823,0.5001227259635925,4.538093,100
2021-01-12 15:33:25.034180,['Visiting: Pitcher - Win rate'],01D0948747209452,adam,[9],['None'],[0],1,1,9,0.6983701586723328,0.5065046548843384,7.7653690000000015,180
2021-01-12 15:35:06.062539,['Home: Pitcher - Win rate'],01D0595401519096,adam,"[6, 1]","['None', 'None']","[4, 0]",1,2,7,0.701930820941925,0.5001227259635925,12.849554,280
2021-01-12 15:36:53.728989,['Visiting: Pitcher - Pitching performance'],01D2997360866200,adam,"[9, 1]","['None', 'None']","[1, 0]",1,2,10,0.6931368708610535,0.5033137202262878,7.398256,160
2021-01-12 15:38:22.128403,['Home: Pitcher - Pitching performance'],01D2198392464636,rmsprop,[10],['None'],[5],1,1,10,0.7270965576171875,0.5087137818336487,15.118512999999998,280
2021-01-12 15:39:50.901334,['Visiting: Pitcher - Strikeouts per walk'],01D2732534815842,adam,[9],['None'],[0],1,1,9,0.7227118611335754,0.5042955279350281,5.038031,120
2021-01-12 15:41:34.373188,['Home: Pitcher - Strikeouts per walk'],01D1982459831030,adam,"[3, 1]","['None', 'None']","[0, 0]",1,2,4,0.8545219302177429,0.5001227259635925,6.050152,140
2021-01-12 15:43:07.907608,['Visiting: Pitcher - Homeruns per game'],01D2268134693494,adam,[9],['None'],[0],1,1,9,0.6939723491668701,0.5006136298179626,7.7435160000000005,180
2021-01-12 15:44:38.451131,['Home: Pitcher - Homeruns per game'],01D1612167004998,adam,[9],['None'],[0],1,1,9,0.705287516117096,0.5004909038543701,3.362885,80
2021-01-12 15:45:57.944510,['Visiting: Pitcher - Shutouts per game'],01D2293002896842,adam,[6],['None'],[4],1,1,6,0.7048928737640381,0.5001227259635925,10.607381,240
2021-01-12 15:47:47.649577,['Home: Pitcher - Shutouts per game'],01D1630587474450,adam,"[2, 5]","['selu', 'None']","[0, 0]",1,2,7,24.42521667480469,0.5001227259635925,9.117664,200
2021-01-12 15:49:08.883159,['Visiting: Pitcher - Saves per game'],01D1713696030348,adam,[6],['None'],[0],1,1,6,0.69352787733078,0.5009818077087402,7.860328999999999,180
2021-01-12 15:50:52.511294,['Home: Pitcher - Saves per game'],01D1176825353580,adam,"[7, 2]","['None', 'None']","[4, 0]",1,2,9,0.6933116912841797,0.5001227259635925,10.269921,220
2021-01-12 15:52:22.520291,['Visiting: Pitcher - ERA'],01D0473234429126,rmsprop,[3],['None'],[0],1,1,3,0.724686324596405,0.5,9.757776,180
2021-01-12 15:54:35.740712,['Home: Pitcher - ERA'],01D0257892268206,adam,"[5, 3, 1]","['None', 'None', 'None']","[0, 0, 0]",1,3,9,0.7051357626914978,0.4998772740364074,5.408786,120
2021-01-12 15:56:07.746590,['Visiting: Average Batting performance'],01D2428513530340,rmsprop,[10],['selu'],[0],1,1,10,0.7321612238883972,0.5047864317893982,5.555383999999999,100
2021-01-12 15:57:45.346700,['Home: Average Batting performance'],01D1734155624124,rmsprop,[8],['None'],[0],1,1,8,0.716668426990509,0.5020864009857178,12.712477999999996,240
2021-01-12 15:59:12.383109,['League Diffrence'],01D0202758067792,adam,[9],['None'],[0],1,1,9,0.6932854056358337,0.5065046548843384,7.824446000000001,180
2021-01-12 16:00:44.094761,['Visiting: Score ratio'],01D0442430171589,adam,[4],['None'],[0],1,1,4,0.6927679181098938,0.5171821117401123,3.354204,80
2021-01-12 16:02:22.857584,['Visiting: Win ratio'],01D0325296339145,adam,[5],['None'],[0],1,1,5,0.7213320136070251,0.5060137510299683,7.0011899999999985,160
2021-01-12 16:04:04.432102,['Visiting: Odd ratio'],01D0320282067879,adam,[8],['None'],[2],1,1,8,0.6911497712135315,0.515954852104187,10.424844,240
