row,Games home manager,Wins home manager,Losses home manager,Games visiting manager,Wins visiting manager,Losses visiting manager
0,105.0,53.0,52.0,162.0,60.0,102.0
1,163.0,85.0,77.0,161.0,71.0,90.0
2,161.0,84.0,77.0,163.0,81.0,81.0
3,162.0,89.0,72.0,162.0,75.0,87.0
4,162.0,95.0,67.0,,,
5,,,,162.0,91.0,71.0
6,162.0,77.0,85.0,100.0,50.0,50.0
7,162.0,74.0,88.0,162.0,90.0,72.0
8,129.0,53.0,76.0,,,
9,161.0,57.0,104.0,161.0,84.0,77.0
10,,,,18.0,6.0,12.0
11,162.0,95.0,67.0,,,
12,,,,162.0,98.0,64.0
13,162.0,101.0,61.0,162.0,77.0,84.0
14,105.0,53.0,52.0,162.0,60.0,102.0
15,163.0,85.0,77.0,161.0,71.0,90.0
16,161.0,84.0,77.0,163.0,81.0,81.0
17,,,,162.0,91.0,71.0
18,162.0,77.0,85.0,100.0,50.0,50.0
19,162.0,74.0,88.0,162.0,90.0,72.0
20,129.0,53.0,76.0,,,
21,162.0,89.0,72.0,162.0,75.0,87.0
22,,,,18.0,6.0,12.0
23,162.0,95.0,67.0,,,
24,105.0,53.0,52.0,162.0,60.0,102.0
25,163.0,85.0,77.0,161.0,71.0,90.0
26,161.0,84.0,77.0,163.0,81.0,81.0
27,,,,162.0,91.0,71.0
28,162.0,77.0,85.0,100.0,50.0,50.0
29,162.0,74.0,88.0,162.0,90.0,72.0
30,129.0,53.0,76.0,,,
31,161.0,57.0,104.0,161.0,84.0,77.0
32,,,,18.0,6.0,12.0
33,162.0,95.0,67.0,,,
34,162.0,101.0,61.0,162.0,77.0,84.0
35,163.0,85.0,77.0,163.0,81.0,81.0
36,162.0,60.0,102.0,161.0,84.0,77.0
37,162.0,91.0,71.0,,,
38,100.0,50.0,50.0,162.0,74.0,88.0
39,,,,161.0,71.0,90.0
40,162.0,77.0,85.0,162.0,90.0,72.0
41,129.0,53.0,76.0,105.0,53.0,52.0
42,,,,161.0,57.0,104.0
