timestamp,predictors,identifier,optimizer,layers,activations,dropouts,dimensions,length,nodes,loss,binary_accuracy,time,epochs
2021-01-03 11:02:04.785460,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[1]","['None']","[0]",1,1,1,0.7020740509033203,0.5002025961875916,2.425332,20
2021-01-03 11:02:07.199823,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[2]","['None']","[0]",1,1,2,0.7406257390975952,0.5002025961875916,2.247221,29
2021-01-03 11:02:10.094307,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[3]","['None']","[0]",1,1,3,0.7579097151756287,0.5002025961875916,2.747358,35
2021-01-03 11:02:13.482128,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[4]","['None']","[0]",1,1,4,0.8086739778518677,0.5006077885627747,3.240289,45
2021-01-03 11:02:16.400632,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[5]","['None']","[0]",1,1,5,0.851982831954956,0.5010129809379578,2.768376,36
2021-01-03 11:02:19.231061,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[6]","['None']","[0]",1,1,6,0.9065830707550049,0.5008103847503662,2.681302,36
2021-01-03 11:02:22.081753,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7]","['None']","[0]",1,1,7,0.9737551808357239,0.5012155771255493,2.699562,35
2021-01-03 11:02:25.091698,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[8]","['None']","[0]",1,1,8,1.0139145851135254,0.5006077885627747,2.862819,39
2021-01-03 11:02:27.673707,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[9]","['None']","[0]",1,1,9,1.1097240447998047,0.5002025961875916,2.432881,32
2021-01-03 11:02:30.553972,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'None']","[0, 0]",1,2,8,0.7177420854568481,0.5016207695007324,2.714329,33
2021-01-03 11:02:33.298705,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 2]","['None', 'None']","[0, 0]",1,2,9,0.7910928726196289,0.5002025961875916,2.586597,32
2021-01-03 11:02:35.665250,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 3]","['None', 'None']","[0, 0]",1,2,10,1.1066858768463135,0.5012155771255493,2.210411,25
2021-01-03 11:02:38.512694,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['relu', 'None']","[0, 0]",1,2,8,0.6943116188049316,0.5002025961875916,2.674295,33
2021-01-03 11:02:41.141973,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['selu', 'None']","[0, 0]",1,2,8,0.7247911691665649,0.5010129809379578,2.473144,29
2021-01-03 11:02:43.470794,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['elu', 'None']","[0, 0]",1,2,8,0.7548903226852417,0.5002025961875916,2.170687,25
2021-01-03 11:02:46.414533,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['tanh', 'None']","[0, 0]",1,2,8,0.7159487009048462,0.5002025961875916,2.786604,33
2021-01-03 11:02:49.294540,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['softsign', 'None']","[0, 0]",1,2,8,0.7087748646736145,0.5002025961875916,2.722872,33
2021-01-03 11:02:51.865746,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['softplus', 'None']","[0, 0]",1,2,8,0.7178318500518799,0.5002025961875916,2.411069,28
2021-01-03 11:02:54.851308,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'relu']","[0, 0]",1,2,8,0.6942828893661499,0.5002025961875916,2.818419,33
2021-01-03 11:02:57.732781,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'selu']","[0, 0]",1,2,8,0.7164826393127441,0.5010129809379578,2.721335,33
2021-01-03 11:03:00.701328,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'elu']","[0, 0]",1,2,8,0.7179915904998779,0.5008103847503662,2.807409,33
2021-01-03 11:03:02.780112,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'tanh']","[0, 0]",1,2,8,0.7598170638084412,0.49979740381240845,1.919648,21
2021-01-03 11:03:04.929957,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'softsign']","[0, 0]",1,2,8,0.7277164459228516,0.49979740381240845,1.990709,21
2021-01-03 11:03:07.281976,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'softplus']","[0, 0]",1,2,8,0.724173903465271,0.5008103847503662,2.192882,25
2021-01-03 11:03:10.208487,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'None']","[1, 0]",1,2,8,0.7297928333282471,0.5014181733131409,2.748359,31
2021-01-03 11:03:13.167027,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'None']","[2, 0]",1,2,8,0.7240804433822632,0.5014181733131409,2.801404,33
2021-01-03 11:03:16.130570,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'None']","[3, 0]",1,2,8,0.6995777487754822,0.49979740381240845,2.806408,33
2021-01-03 11:03:18.502017,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'None']","[4, 0]",1,2,8,0.7888815999031067,0.5016207695007324,2.21231,23
2021-01-03 11:03:21.456552,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'None']","[5, 0]",1,2,8,0.6981122493743896,0.49979740381240845,2.796399,33
2021-01-03 11:03:24.351036,"['Visiting: Pitcher - Win rate']",2930302900,adam,"[7, 1]","['None', 'None']","[6, 0]",1,2,8,0.7074374556541443,0.5008103847503662,2.737349,31
2021-01-03 11:03:26.941259,"['Visiting: Pitcher - Win rate']",2930302900,sgd,"[7, 1]","['None', 'None']","[0, 0]",1,2,8,0.7278253436088562,0.5,2.404064,30
2021-01-03 11:03:31.006748,"['Visiting: Pitcher - Win rate']",2930302900,rmsprop,"[7, 1]","['None', 'None']","[0, 0]",1,2,8,0.6934192776679993,0.5002025961875916,3.908354,33
